DataMeasurementId,DateTime,SensorId,Value,Raw,Name,EquipmentId
1,2021-10-18 10:13:28.415,1,19.1,19.1,InletTemp-sensor,1
2,2021-10-18 10:13:28.446,2,29.0,29.0,SetTemp-sensor,1
4,2021-10-18 10:13:28.481,5,2.0,HEAT,Mode-sensor,1
5,2021-10-18 10:13:28.492,7,22.5,22.5,InletTemp-sensor,2
6,2021-10-18 10:13:28.516,8,16.0,16.0,SetTemp-sensor,2
7,2021-10-18 10:13:28.526,9,0.0,2,Drive-sensor,2
9,2021-10-18 10:13:28.550,11,2.0,HEAT,Mode-sensor,2
10,2021-10-18 10:13:28.563,13,23.3,23.3,InletTemp-sensor,3
11,2021-10-18 10:13:28.575,14,23.0,23.0,SetTemp-sensor,3
13,2021-10-18 10:13:28.606,17,2.0,HEAT,Mode-sensor,3
14,2021-10-18 10:13:28.619,19,22.5,22.5,InletTemp-sensor,4
15,2021-10-18 10:13:28.633,20,19.0,19.0,SetTemp-sensor,4
17,2021-10-18 10:13:28.661,23,2.0,HEAT,Mode-sensor,4
18,2021-10-18 10:13:28.674,25,22.5,22.5,InletTemp-sensor,5
19,2021-10-18 10:13:28.688,26,20.0,20.0,SetTemp-sensor,5
20,2021-10-18 10:13:28.701,27,0.0,2,Drive-sensor,5
22,2021-10-18 10:13:28.729,29,2.0,HEAT,Mode-sensor,5
23,2021-10-18 10:13:28.742,31,22.9,22.9,InletTemp-sensor,6
24,2021-10-18 10:13:28.756,32,21.0,21.0,SetTemp-sensor,6
25,2021-10-18 10:13:28.771,33,1.0,0,Drive-sensor,6
27,2021-10-18 10:13:28.792,35,2.0,HEAT,Mode-sensor,6
28,2021-10-18 10:13:28.804,37,23.7,23.7,InletTemp-sensor,7
29,2021-10-18 10:13:28.814,38,22.0,22.0,SetTemp-sensor,7
31,2021-10-18 10:13:28.847,41,2.0,HEAT,Mode-sensor,7
32,2021-10-18 10:13:28.858,43,24.7,24.7,InletTemp-sensor,8
33,2021-10-18 10:13:28.869,44,25.0,25.0,SetTemp-sensor,8
35,2021-10-18 10:13:28.903,47,2.0,HEAT,Mode-sensor,8
36,2021-10-18 10:13:28.914,49,25.5,25.5,InletTemp-sensor,9
37,2021-10-18 10:13:28.929,50,20.0,20.0,SetTemp-sensor,9
39,2021-10-18 10:13:28.960,53,2.0,HEAT,Mode-sensor,9
40,2021-10-18 10:13:28.974,55,21.1,21.1,InletTemp-sensor,10
41,2021-10-18 10:13:28.986,56,20.0,20.0,SetTemp-sensor,10
43,2021-10-18 10:13:29.017,59,2.0,HEAT,Mode-sensor,10
44,2021-10-18 10:13:29.030,61,22.0,22.0,InletTemp-sensor,11
45,2021-10-18 10:13:29.042,62,27.0,27.0,SetTemp-sensor,11
46,2021-10-18 10:13:29.056,63,0.0,2,Drive-sensor,11
48,2021-10-18 10:13:29.082,65,2.0,HEAT,Mode-sensor,11
49,2021-10-18 10:13:29.095,67,23.1,23.1,InletTemp-sensor,12
50,2021-10-18 10:13:29.107,68,27.0,27.0,SetTemp-sensor,12
51,2021-10-18 10:13:29.119,69,0.0,2,Drive-sensor,12
53,2021-10-18 10:13:29.148,71,2.0,HEAT,Mode-sensor,12
54,2021-10-18 10:13:29.162,73,21.0,21.0,InletTemp-sensor,13
55,2021-10-18 10:13:29.174,74,32.0,32.0,SetTemp-sensor,13
57,2021-10-18 10:13:29.202,77,2.0,HEAT,Mode-sensor,13
58,2021-10-18 10:13:29.216,79,22.3,22.3,InletTemp-sensor,14
59,2021-10-18 10:13:29.230,80,20.0,20.0,SetTemp-sensor,14
60,2021-10-18 10:13:29.242,81,0.0,2,Drive-sensor,14
62,2021-10-18 10:13:29.270,83,2.0,HEAT,Mode-sensor,14
63,2021-10-18 10:13:29.282,85,22.8,22.8,InletTemp-sensor,15
64,2021-10-18 10:13:29.295,86,20.0,20.0,SetTemp-sensor,15
65,2021-10-18 10:13:29.306,87,0.0,2,Drive-sensor,15
67,2021-10-18 10:13:29.331,89,2.0,HEAT,Mode-sensor,15
68,2021-10-18 10:13:29.344,91,23.2,23.2,InletTemp-sensor,16
69,2021-10-18 10:13:29.356,92,20.0,20.0,SetTemp-sensor,16
71,2021-10-18 10:13:29.388,95,2.0,HEAT,Mode-sensor,16
72,2021-10-18 10:13:29.402,97,22.7,22.7,InletTemp-sensor,17
73,2021-10-18 10:13:29.415,98,27.0,27.0,SetTemp-sensor,17
74,2021-10-18 10:13:29.427,99,0.0,2,Drive-sensor,17
76,2021-10-18 10:13:29.451,101,2.0,HEAT,Mode-sensor,17
77,2021-10-18 10:13:29.463,103,21.3,21.3,InletTemp-sensor,18
78,2021-10-18 10:13:29.476,104,18.0,18.0,SetTemp-sensor,18
79,2021-10-18 10:13:29.487,105,0.0,2,Drive-sensor,18
81,2021-10-18 10:13:29.514,107,2.0,HEAT,Mode-sensor,18
82,2021-10-18 10:13:29.528,109,20.0,20.0,InletTemp-sensor,19
83,2021-10-18 10:13:29.539,110,23.0,23.0,SetTemp-sensor,19
85,2021-10-18 10:13:29.576,113,2.0,HEAT,Mode-sensor,19
86,2021-10-18 10:13:48.498,97,22.5,22.5,InletTemp-sensor,17
87,2021-10-18 10:14:48.518,103,21.1,21.1,InletTemp-sensor,18
88,2021-10-18 10:15:30.538,43,24.5,24.5,InletTemp-sensor,8
89,2021-10-18 10:16:30.555,79,22.1,22.1,InletTemp-sensor,14
90,2021-10-18 10:16:30.582,85,22.3,22.3,InletTemp-sensor,15
91,2021-10-18 10:17:30.575,55,21.3,21.3,InletTemp-sensor,10
92,2021-10-18 10:17:30.621,73,21.3,21.3,InletTemp-sensor,13
93,2021-10-18 10:18:30.589,43,24.4,24.4,InletTemp-sensor,8
94,2021-10-18 10:18:30.627,55,21.1,21.1,InletTemp-sensor,10
95,2021-10-18 10:18:30.652,61,21.9,21.9,InletTemp-sensor,11
96,2021-10-18 10:18:30.663,73,21.1,21.1,InletTemp-sensor,13
97,2021-10-18 10:19:30.611,13,23.1,23.1,InletTemp-sensor,3
98,2021-10-18 10:19:30.645,43,24.3,24.3,InletTemp-sensor,8
99,2021-10-18 10:19:30.661,49,25.4,25.4,InletTemp-sensor,9
100,2021-10-18 10:19:30.680,79,22.4,22.4,InletTemp-sensor,14
101,2021-10-18 10:19:30.696,85,22.6,22.6,InletTemp-sensor,15
102,2021-10-18 10:19:30.714,91,23.3,23.3,InletTemp-sensor,16
103,2021-10-18 10:19:48.618,97,22.3,22.3,InletTemp-sensor,17
104,2021-10-18 10:19:48.656,103,21.0,21.0,InletTemp-sensor,18
105,2021-10-18 10:20:30.646,25,22.3,22.3,InletTemp-sensor,5
106,2021-10-18 10:20:30.685,73,21.0,21.0,InletTemp-sensor,13
107,2021-10-18 10:20:30.702,79,22.6,22.6,InletTemp-sensor,14
108,2021-10-18 10:20:30.717,85,22.8,22.8,InletTemp-sensor,15
109,2021-10-18 10:21:30.651,55,21.0,21.0,InletTemp-sensor,10
110,2021-10-18 10:21:30.694,61,21.7,21.7,InletTemp-sensor,11
111,2021-10-18 10:21:30.710,85,22.9,22.9,InletTemp-sensor,15
112,2021-10-18 10:21:48.651,103,20.8,20.8,InletTemp-sensor,18
113,2021-10-18 10:22:30.673,79,22.8,22.8,InletTemp-sensor,14
114,2021-10-18 10:22:30.714,91,23.1,23.1,InletTemp-sensor,16
115,2021-10-18 10:23:48.706,97,22.1,22.1,InletTemp-sensor,17
116,2021-10-18 10:24:30.737,43,24.4,24.4,InletTemp-sensor,8
117,2021-10-18 10:24:30.775,85,23.1,23.1,InletTemp-sensor,15
118,2021-10-18 10:25:30.789,7,22.3,22.3,InletTemp-sensor,2
119,2021-10-18 10:25:30.836,13,22.9,22.9,InletTemp-sensor,3
120,2021-10-18 10:26:30.802,43,24.6,24.6,InletTemp-sensor,8
121,2021-10-18 10:28:30.879,43,24.8,24.8,InletTemp-sensor,8
122,2021-10-18 10:28:30.917,73,20.8,20.8,InletTemp-sensor,13
123,2021-10-18 10:28:30.931,91,22.9,22.9,InletTemp-sensor,16
124,2021-10-18 10:29:30.910,91,23.1,23.1,InletTemp-sensor,16
125,2021-10-18 10:30:30.943,19,22.5,22.5,InletTemp-sensor,4
126,2021-10-18 10:30:30.988,43,25.1,25.1,InletTemp-sensor,8
127,2021-10-18 10:30:31.002,91,23.3,23.3,InletTemp-sensor,16
128,2021-10-18 10:30:42.945,97,22.3,22.3,InletTemp-sensor,17
129,2021-10-18 10:31:30.966,79,22.7,22.7,InletTemp-sensor,14
130,2021-10-18 10:32:31.007,43,25.3,25.3,InletTemp-sensor,8
131,2021-10-18 10:32:31.044,73,20.6,20.6,InletTemp-sensor,13
132,2021-10-18 10:32:31.061,91,23.1,23.1,InletTemp-sensor,16
133,2021-10-18 10:33:31.046,91,22.9,22.9,InletTemp-sensor,16
134,2021-10-18 10:35:31.122,43,25.5,25.5,InletTemp-sensor,8
135,2021-10-18 10:35:49.135,103,21.0,21.0,InletTemp-sensor,18
136,2021-10-18 10:36:31.171,49,25.2,25.2,InletTemp-sensor,9
137,2021-10-18 10:36:31.206,79,22.5,22.5,InletTemp-sensor,14
138,2021-10-18 10:36:31.220,85,22.9,22.9,InletTemp-sensor,15
139,2021-10-18 10:36:49.173,97,21.9,21.9,InletTemp-sensor,17
140,2021-10-18 10:37:49.220,103,20.8,20.8,InletTemp-sensor,18
141,2021-10-18 10:38:31.244,73,20.8,20.8,InletTemp-sensor,13
142,2021-10-18 10:38:49.251,97,22.1,22.1,InletTemp-sensor,17
143,2021-10-18 10:39:31.284,13,23.1,23.1,InletTemp-sensor,3
144,2021-10-18 10:39:31.320,49,25.3,25.3,InletTemp-sensor,9
145,2021-10-18 10:39:31.336,73,21.0,21.0,InletTemp-sensor,13
146,2021-10-18 10:39:31.350,91,23.1,23.1,InletTemp-sensor,16
147,2021-10-18 10:39:49.296,97,21.9,21.9,InletTemp-sensor,17
148,2021-10-18 10:39:49.338,103,21.0,21.0,InletTemp-sensor,18
149,2021-10-18 10:40:31.322,19,22.7,22.7,InletTemp-sensor,4
150,2021-10-18 10:40:31.357,61,21.9,21.9,InletTemp-sensor,11
151,2021-10-18 10:40:31.370,85,22.8,22.8,InletTemp-sensor,15
152,2021-10-18 10:41:31.351,43,25.4,25.4,InletTemp-sensor,8
153,2021-10-18 10:41:49.363,103,21.1,21.1,InletTemp-sensor,18
154,2021-10-18 10:42:31.395,13,23.3,23.3,InletTemp-sensor,3
155,2021-10-18 10:42:31.434,31,23.1,23.1,InletTemp-sensor,6
