DataMeasurementId,DateTime,SensorId,Value,Raw,diff_time,Name,DateTime_s
32,2021-10-18 10:13:28.858,43,24.7,24.7,,InletTemp-sensor,2021-10-18 10:13:28
33,2021-10-18 10:13:28.869,44,25.0,25.0,0.011000000000000001,SetTemp-sensor,2021-10-18 10:13:28
34,2021-10-18 10:13:28.889,46,4.0,3005,0.02,FanSpeed-sensor,2021-10-18 10:13:28
35,2021-10-18 10:13:28.903,47,2.0,HEAT,0.014,Mode-sensor,2021-10-18 10:13:28
88,2021-10-18 10:15:30.538,43,24.5,24.5,121.635,InletTemp-sensor,2021-10-18 10:15:30
93,2021-10-18 10:18:30.589,43,24.4,24.4,180.05100000000002,InletTemp-sensor,2021-10-18 10:18:30
98,2021-10-18 10:19:30.645,43,24.3,24.3,60.056000000000004,InletTemp-sensor,2021-10-18 10:19:30
116,2021-10-18 10:24:30.737,43,24.4,24.4,300.09200000000004,InletTemp-sensor,2021-10-18 10:24:30
120,2021-10-18 10:26:30.802,43,24.6,24.6,120.06500000000001,InletTemp-sensor,2021-10-18 10:26:30
121,2021-10-18 10:28:30.879,43,24.8,24.8,120.07700000000001,InletTemp-sensor,2021-10-18 10:28:30
126,2021-10-18 10:30:30.988,43,25.1,25.1,120.10900000000001,InletTemp-sensor,2021-10-18 10:30:30
130,2021-10-18 10:32:31.007,43,25.3,25.3,120.019,InletTemp-sensor,2021-10-18 10:32:31
134,2021-10-18 10:35:31.122,43,25.5,25.5,180.115,InletTemp-sensor,2021-10-18 10:35:31
152,2021-10-18 10:41:31.351,43,25.4,25.4,360.22900000000004,InletTemp-sensor,2021-10-18 10:41:31
158,2021-10-18 10:43:31.429,43,25.2,25.2,120.078,InletTemp-sensor,2021-10-18 10:43:31
163,2021-10-18 10:45:31.546,43,25.0,25.0,120.117,InletTemp-sensor,2021-10-18 10:45:31
166,2021-10-18 10:47:31.588,43,24.8,24.8,120.042,InletTemp-sensor,2021-10-18 10:47:31
180,2021-10-18 10:53:31.866,43,24.6,24.6,360.278,InletTemp-sensor,2021-10-18 10:53:31
208,2021-10-18 11:13:32.589,43,24.4,24.4,1200.7230000000002,InletTemp-sensor,2021-10-18 11:13:32
211,2021-10-18 11:14:32.666,43,24.4,24.4,60.077000000000005,InletTemp-sensor,2021-10-18 11:14:32
227,2021-10-18 11:17:32.738,43,24.2,24.2,180.072,InletTemp-sensor,2021-10-18 11:17:32
232,2021-10-18 11:20:32.858,43,24.4,24.4,180.12,InletTemp-sensor,2021-10-18 11:20:32
234,2021-10-18 11:22:32.953,43,24.5,24.5,120.09500000000001,InletTemp-sensor,2021-10-18 11:22:32
239,2021-10-18 11:24:33.029,43,24.8,24.8,120.07600000000001,InletTemp-sensor,2021-10-18 11:24:33
243,2021-10-18 11:26:33.111,43,25.1,25.1,120.08200000000001,InletTemp-sensor,2021-10-18 11:26:33
246,2021-10-18 11:27:33.150,43,25.3,25.3,60.039,InletTemp-sensor,2021-10-18 11:27:33
254,2021-10-18 11:30:33.243,43,25.2,25.2,180.09300000000002,InletTemp-sensor,2021-10-18 11:30:33
261,2021-10-18 11:35:33.417,43,25.0,25.0,300.17400000000004,InletTemp-sensor,2021-10-18 11:35:33
267,2021-10-18 11:39:33.619,43,24.8,24.8,240.20200000000003,InletTemp-sensor,2021-10-18 11:39:33
270,2021-10-18 11:41:33.750,43,24.6,24.6,120.13100000000001,InletTemp-sensor,2021-10-18 11:41:33
273,2021-10-18 11:44:33.884,43,24.8,24.8,180.13400000000001,InletTemp-sensor,2021-10-18 11:44:33
277,2021-10-18 11:46:34.026,43,25.0,25.0,120.14200000000001,InletTemp-sensor,2021-10-18 11:46:34
280,2021-10-18 11:47:34.005,43,25.2,25.2,59.979000000000006,InletTemp-sensor,2021-10-18 11:47:34
283,2021-10-18 11:48:34.114,43,25.3,25.3,60.109,InletTemp-sensor,2021-10-18 11:48:34
287,2021-10-18 11:49:22.111,45,0.0,2,47.997,Drive-sensor,2021-10-18 11:49:22
288,2021-10-18 11:49:34.124,43,25.4,25.4,12.013,InletTemp-sensor,2021-10-18 11:49:34
294,2021-10-18 11:51:34.228,43,25.5,25.5,120.10400000000001,InletTemp-sensor,2021-10-18 11:51:34
308,2021-10-18 11:55:34.447,43,25.4,25.4,240.21900000000002,InletTemp-sensor,2021-10-18 11:55:34
313,2021-10-18 11:57:34.555,43,25.2,25.2,120.108,InletTemp-sensor,2021-10-18 11:57:34
320,2021-10-18 11:59:28.650,43,25.0,25.0,114.09500000000001,InletTemp-sensor,2021-10-18 11:59:28
328,2021-10-18 12:05:34.939,43,24.8,24.8,366.28900000000004,InletTemp-sensor,2021-10-18 12:05:34
332,2021-10-18 12:12:35.111,43,24.6,24.6,420.172,InletTemp-sensor,2021-10-18 12:12:35
341,2021-10-18 12:25:29.681,43,24.4,24.4,774.57,InletTemp-sensor,2021-10-18 12:25:29
355,2021-10-18 12:40:36.395,43,24.3,24.3,906.714,InletTemp-sensor,2021-10-18 12:40:36
368,2021-10-18 12:54:31.027,43,23.9,23.9,834.6320000000001,InletTemp-sensor,2021-10-18 12:54:31
369,2021-10-18 12:55:31.081,43,23.7,23.7,60.054,InletTemp-sensor,2021-10-18 12:55:31
372,2021-10-18 12:57:31.193,43,23.6,23.6,120.11200000000001,InletTemp-sensor,2021-10-18 12:57:31
374,2021-10-18 12:59:31.283,43,23.3,23.3,120.09,InletTemp-sensor,2021-10-18 12:59:31
382,2021-10-18 13:02:31.406,43,23.6,23.6,180.12300000000002,InletTemp-sensor,2021-10-18 13:02:31
387,2021-10-18 13:05:31.603,43,23.7,23.7,180.197,InletTemp-sensor,2021-10-18 13:05:31
391,2021-10-18 13:08:31.751,43,23.9,23.9,180.14800000000002,InletTemp-sensor,2021-10-18 13:08:31
405,2021-10-18 13:11:31.909,43,23.7,23.7,180.15800000000002,InletTemp-sensor,2021-10-18 13:11:31
416,2021-10-18 13:17:32.164,43,23.6,23.6,360.255,InletTemp-sensor,2021-10-18 13:17:32
429,2021-10-18 13:28:32.706,43,23.7,23.7,660.542,InletTemp-sensor,2021-10-18 13:28:32
447,2021-10-18 13:36:33.022,43,23.9,23.9,480.31600000000003,InletTemp-sensor,2021-10-18 13:36:33
449,2021-10-18 13:37:33.010,43,23.7,23.7,59.98800000000001,InletTemp-sensor,2021-10-18 13:37:33
466,2021-10-18 13:51:33.681,43,23.6,23.6,840.671,InletTemp-sensor,2021-10-18 13:51:33
504,2021-10-18 14:00:04.320,43,23.6,23.6,510.639,InletTemp-sensor,2021-10-18 14:00:04
505,2021-10-18 14:00:04.336,44,25.0,25.0,0.016,SetTemp-sensor,2021-10-18 14:00:04
506,2021-10-18 14:00:04.351,46,4.0,3005,0.015000000000000001,FanSpeed-sensor,2021-10-18 14:00:04
507,2021-10-18 14:00:04.361,47,2.0,HEAT,0.01,Mode-sensor,2021-10-18 14:00:04
573,2021-10-18 14:16:34.721,43,23.8,23.8,990.36,InletTemp-sensor,2021-10-18 14:16:34
587,2021-10-18 14:27:35.049,43,23.7,23.7,660.3280000000001,InletTemp-sensor,2021-10-18 14:27:35
591,2021-10-18 14:34:29.291,43,23.8,23.8,414.242,InletTemp-sensor,2021-10-18 14:34:29
592,2021-10-18 14:35:29.335,43,23.7,23.7,60.044000000000004,InletTemp-sensor,2021-10-18 14:35:29
597,2021-10-18 14:36:29.428,43,23.8,23.8,60.093,InletTemp-sensor,2021-10-18 14:36:29
609,2021-10-18 14:44:35.692,43,23.7,23.7,486.264,InletTemp-sensor,2021-10-18 14:44:35
621,2021-10-18 14:53:36.033,43,23.8,23.8,540.341,InletTemp-sensor,2021-10-18 14:53:36
623,2021-10-18 14:54:36.033,43,23.7,23.7,60.00000000000001,InletTemp-sensor,2021-10-18 14:54:36
626,2021-10-18 14:57:30.135,43,23.8,23.8,174.102,InletTemp-sensor,2021-10-18 14:57:30
631,2021-10-18 14:58:30.204,43,23.7,23.7,60.069,InletTemp-sensor,2021-10-18 14:58:30
679,2021-10-18 15:34:31.502,43,23.5,23.5,2161.2980000000002,InletTemp-sensor,2021-10-18 15:34:31
686,2021-10-18 15:40:31.768,43,23.7,23.7,360.266,InletTemp-sensor,2021-10-18 15:40:31
696,2021-10-18 15:54:32.316,43,23.5,23.5,840.548,InletTemp-sensor,2021-10-18 15:54:32
719,2021-10-18 16:12:33.154,43,23.7,23.7,1080.838,InletTemp-sensor,2021-10-18 16:12:33
729,2021-10-18 16:19:33.384,43,23.5,23.5,420.23,InletTemp-sensor,2021-10-18 16:19:33
747,2021-10-18 16:45:34.569,43,23.3,23.3,1561.1850000000002,InletTemp-sensor,2021-10-18 16:45:34
781,2021-10-18 17:41:31.218,43,23.1,23.1,3356.6490000000003,InletTemp-sensor,2021-10-18 17:41:31
789,2021-10-18 17:46:37.489,43,23.3,23.3,306.271,InletTemp-sensor,2021-10-18 17:46:37
799,2021-10-18 17:48:37.605,43,23.1,23.1,120.11600000000001,InletTemp-sensor,2021-10-18 17:48:37
852,2021-10-18 18:00:04.294,43,23.1,23.1,686.6890000000001,InletTemp-sensor,2021-10-18 18:00:04
853,2021-10-18 18:00:04.304,44,25.0,25.0,0.01,SetTemp-sensor,2021-10-18 18:00:04
854,2021-10-18 18:00:04.318,46,4.0,3005,0.014,FanSpeed-sensor,2021-10-18 18:00:04
855,2021-10-18 18:00:04.331,47,2.0,HEAT,0.013000000000000001,Mode-sensor,2021-10-18 18:00:04
929,2021-10-18 18:19:33.072,43,23.3,23.3,1168.741,InletTemp-sensor,2021-10-18 18:19:33
970,2021-10-18 19:11:35.407,43,23.1,23.1,3122.335,InletTemp-sensor,2021-10-18 19:11:35
1007,2021-10-18 20:50:34.136,43,22.9,22.9,5938.729,InletTemp-sensor,2021-10-18 20:50:34
1085,2021-10-18 22:00:04.186,43,22.9,22.9,4170.05,InletTemp-sensor,2021-10-18 22:00:04
1086,2021-10-18 22:00:04.198,44,25.0,25.0,0.012,SetTemp-sensor,2021-10-18 22:00:04
1087,2021-10-18 22:00:04.214,46,4.0,3005,0.016,FanSpeed-sensor,2021-10-18 22:00:04
1088,2021-10-18 22:00:04.225,47,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-18 22:00:04
1207,2021-10-18 23:57:37.025,43,23.1,23.1,7052.8,InletTemp-sensor,2021-10-18 23:57:37
1213,2021-10-19 00:02:37.233,43,23.3,23.3,300.208,InletTemp-sensor,2021-10-19 00:02:37
1244,2021-10-19 00:25:38.390,43,23.5,23.5,1381.1570000000002,InletTemp-sensor,2021-10-19 00:25:38
1363,2021-10-19 02:00:04.074,43,23.5,23.5,5665.684,InletTemp-sensor,2021-10-19 02:00:04
1364,2021-10-19 02:00:04.083,44,25.0,25.0,0.009000000000000001,SetTemp-sensor,2021-10-19 02:00:04
1365,2021-10-19 02:00:04.096,46,4.0,3005,0.013000000000000001,FanSpeed-sensor,2021-10-19 02:00:04
